https://oercommons.org/courses/22-years-of-sea-surface-temperatures-2?__hub_id=100,"This NOAA visualization on YouTube shows the seasonal variations in sea surface temperatures and ice cover from 1985 to 2007. The visualization is based on data collected by NOAA polar-orbiting satellites. El Ni√o and La Ni√a are easily identified, as are the trends in decreasing polar sea ice.",Environmental Science,Environmental Studies,Physical Science,Atmospheric Science,
https://oercommons.org/courses/aaas-global-climate-change-video-3?__hub_id=100,"This video features residents of Shishmaref, Alaska, plus environmental journalist Elizabeth Kolbert and scientist John Holdren, exploring the human impacts of global climate change.",Environmental Science,Environmental Studies,Ecology,Physical Science,Oceanography
https://oercommons.org/courses/adaptation-coral-reefs-of-vanuatu?__hub_id=100,"The coral reefs of the South Pacific island nation of Vanuatu are the backbone of the island's environmental and economic health. Today they face destruction from a silent predator that can rapidly decimate an entire reef. In this video, students learn about how a starfish is destroying the coral reefs of Vanuatu and how the islanders are adapting.",Environmental Science,Environmental Studies,Biology,Ecology,Physical Science
https://oercommons.org/courses/adaptation-floating-gardens-of-bangladesh?__hub_id=100,This video begins in the lush deltas of Bangladesh. The host of the video learns how communities are adapting to changing monsoons and dangerous sea-level rise. Floating gardens and floating schools are just the start of some of the country's innovative strategies.,Environmental Science,Environmental Studies,Physical Science,Atmospheric Science,Oceanography
https://oercommons.org/courses/adaptation-ice-stupas-of-ladakh?__hub_id=100,"In this video, learn how communities in the arid high-mountain region of Ladakh rely on glacial water to feed streams and water crops during the spring and summer months. Global warming is dramatically reshaping the future of these areas. Meet a Ladakhi teacher and engineer who devised a method to capture and store glacial runoff into magnificent ice pyramids that are used as water resources throughout the summer and during peak agricultural months.",Environmental Science,Agriculture,Environmental Studies,Physical Science,
https://oercommons.org/courses/adaptation-invasive-carp-of-kentucky?__hub_id=100,"In this video, an entrepreneur is finding new ways to manage the invasive Asian carp problem in the Mississippi and Ohio rivers. Once introduced to help mitigate an algae problem, the carp became invasive. This video highlights how the local community has adapted to the issue, including how they have gained ideas about how to utilize the carp from other cultures to help mitigate the issue.",Environmental Science,Environmental Studies,Biology,Ecology,Physical Science
https://oercommons.org/courses/ak-03-alaska-ak-03-columbia-glacier-cliff-narrated-2?__hub_id=100,A video from the Extreme Ice Survey in which Dr. Tad Pfeffer and photographer Jim Balog discuss the dynamics of the Columbia glacier's retreat in recent years through this time-lapse movie. Key point: glacier size is being reduced not just by glacial melting but due to a shift in glacial dynamics brought on by climate change.,Environmental Science,Environmental Studies,"History, Law, Politics",Physical Science,Geoscience
https://oercommons.org/courses/abrupt-events-of-the-past-70-million-years-%C3%A2-evidence-from-scientific-ocean-drilling?__hub_id=100,"In this 6-part activity, students learn about climate change during the Cenozoic and the abrupt changes at the Cretaceous/Paleogene boundary (65.5 million years ago), the Eocene/Oligocene boundary (33.9 million years ago), and the Paleocene/Eocene boundary (55.8 million years ago).",Environmental Science,Environmental Studies,Physical Science,Physical Geography,Archaeology
https://oercommons.org/courses/absorption-by-atmospheric-gases-of-incoming-and-outgoing-radiation-2?__hub_id=100,"In this activity, students use the absorption spectra of greenhouse gases to explore the nature of the greenhouse effect.",Environmental Science,Environmental Studies,Physical Science,Atmospheric Science,Physics
https://oercommons.org/courses/acid-oceans-4?__hub_id=100,This video follows biologist Gretchen Hofmann as she studies the effects of ocean acidification on sea urchin larvae.,Environmental Science,Environmental Studies,Biology,Ecology,Physical Science
https://oercommons.org/courses/acid-test-3-minute-science-of-ocean-acidification?__hub_id=100,"This short video is an excerpt from the longer video Acid Test: The Global Challenge of Ocean Acidification, produced by the National Resources Defense Council (NRDC). This short version summarizes the science of ocean acidification as well as the social implications.",Environmental Science,Environmental Studies,Physical Science,Oceanography,
https://oercommons.org/courses/adapting-to-a-changing-climate-2?__hub_id=100,"This 20-minute video, produced by the UN Framework Convention on Climate Change, describes adaptation strategies undertaken by several groups and nations in response to rising sea level and other aspects of climate change.",Environmental Science,Environmental Studies,Physical Science,,
https://oercommons.org/courses/adapting-to-a-changing-world-2?__hub_id=100,"In this activity, students assess individual and national opinions on climate change and explore strategies that communities are employing to adapt to aspects of climate change already affecting them in addition to those likely to affect them in the future.",Environmental Science,Environmental Studies,Physical Science,,
https://oercommons.org/courses/adapting-to-climate-change-2?__hub_id=100,This video uses Bangladesh as a case study by describing climate change adaptation strategies being implemented in Bangladeshi communities as well as in other countries.,Physical Science,,,,
https://oercommons.org/courses/ad%C3%A3lie-penguins-2?__hub_id=100,A short video that discusses how changing climate is affecting the population of Ad√lie penguins.,Environmental Science,Environmental Studies,Biology,Ecology,Physical Science
https://oercommons.org/courses/aerial-photography-and-mapping-lesson-plan-images-of-katrina-2?__hub_id=100,"This activity from NOAA Ocean Service is about using aerial photographs to assess the impact of extreme weather events such as Hurricane Katrina. The activity features aerial views of Biloxi, MS post-Katrina and enables students to see evidence of the power of extreme weather on the environment.",Physical Science,Geoscience,,,
https://oercommons.org/courses/after-the-ice-part-1-our-food?__hub_id=100,After the Ice: Our Food discusses changes in historic food sources for Arctic Native Americans. Global climate change is altering yearly cycles of both ice coverage and depth in the Bering Sea. Changes in the ice affect the way local native groups hunt in order to feed their community.,Environmental Science,Agriculture,Environmental Studies,Ecology,Physical Science
https://oercommons.org/courses/after-the-ice-part-2-our-land?__hub_id=100,"This 7-minute video illustrates how the historic homeland for Arctic Native Americans is being affected by climate change. Shorefast ice and pack ice are present for a shorter part of the year. This has profound affects on the way of life in the Bering Sea region, to the point where the community may have to relocate.",Environmental Science,Environmental Studies,Biology,Ecology,Physical Science
https://oercommons.org/courses/after-the-ice-part-3-our-story?__hub_id=100,"This video discusses how the historic way of life for Arctic Native Americans has changed. Global climate change is altering the ice cycle (yearly coverage, depth, and persistence) in the Bering Sea and weather patterns. Changes in the ice affect the way local native groups are able to hunt for food, and maintain their community.",Environmental Science,Environmental Studies,Biology,Physical Science,
